datetime_last_load,machine_nr,machine_group_nr,machine_costcenter,machine_area,order_operation,article,article_description,tool_number,order_priority,order_planned_start,order_start,order_planned_stop,order_stop,target_qty,target_cycle_time_per_1000,target_partitioning,regrind_flag,actual_order_start,actual_machine_status,actual_cycle_time_per_1000,rest_duration,shift_start_date,shift_stop_date,actual_qty,actual_scrap_qty,shift_qty,shift_scrap,shift_production_time,shift_partitioning,stoer_text,remaining_runtime,parts_produced_last_updated,scrap_reason_codes,local_datetime_last_load,local_time_zone,target_cycle_time_per_1000_decimal,year,month,date
30-11-2025 00:00,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:00,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:02,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:02,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:04,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:04,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:06,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:06,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:08,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:08,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:10,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:10,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:12,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:12,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:14,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:14,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:16,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:16,Europe/Brussels,9000,2025,11,30-11-2025
30-11-2025 00:18,M-221,M-221,VS3U,OOST_MOLDING,2.00233E+15,2362202-1,"11POS,MQS,REC INNER HSG",M1953714,,19-11-2025 00:00,19-11-2025 00:00,24-11-2025 22:22,24-11-2025 22:22,200000,9000,4,1,29-11-2025 17:00,999,0,450000,30-11-2025 17:00,30-11-2025 05:00,0,876,0,876,0,4,Pauze/Niet gepland,5625072,,,30-11-2025 01:18,Europe/Brussels,9000,2025,11,30-11-2025
